doc_id,status,ordercode,companyname,companytaxcode,companyaddress,companyemail,amount,co_info,invoice_code,invoice_receip_no,invoice_address_label,another_email,created_at,last_modified_at
1163945,Đã nộp phí,000117ED5,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"120,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-NL 24/02/149802', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149801', '1', 'C/O mới', '60,000']]",1140277,0302911601-000117ED5,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,26/12/2024 15:10:11 PM,27/12/2024 11:59:30 AM
1163735,Đã nộp phí,000117E05,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"540,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-IT 24/02/149788', '1', 'C/O mới', '60,000'], ['VN-SE 24/02/149787', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149759', '1', 'C/O mới', '60,000'], ['VN-SE 24/02/149758', '1', 'C/O mới', '60,000'], ['VN-SE 24/02/149745', '1', 'C/O mới', '60,000'], ['VN-PT 24/02/149744', '1', 'C/O mới', '60,000'], ['VN-CA 24/02/023168', '1', 'C/O mới', '60,000'], ['VN-IT 24/02/149742', '1', 'C/O mới', '60,000'], ['VN-CA 24/02/023165', '1', 'C/O mới', '60,000']]",1140068,0302911601-000117E05,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,26/12/2024 14:33:20 PM,27/12/2024 11:58:15 AM
1163495,Đã nộp phí,000117D14,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"660,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-PL 24/02/149737', '1', 'C/O mới', '60,000'], ['VN-SE 24/02/149736', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149735', '1', 'C/O mới', '60,000'], ['VN-NL 24/02/149732', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149731', '1', 'C/O mới', '60,000'], ['VN-PL 24/02/149726', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/149725', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149724', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149723', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149568', '1', 'C/O mới', '60,000'], ['VN-FR 24/02/149567', '1', 'C/O mới', '60,000']]",1139815,0302911601-000117D14,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,26/12/2024 13:51:25 PM,27/12/2024 11:56:51 AM
1161210,Đã nộp phí,000117429,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"60,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-NL 24/02/149170', '1', 'C/O mới', '60,000']]",1137579,0302911601-000117429,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,25/12/2024 15:35:59 PM,26/12/2024 11:57:26 AM
1161036,Đã nộp phí,00011737B,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"120,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-RO 24/02/149121', '1', 'C/O mới', '60,000'], ['VN-IT 24/02/149118', '1', 'C/O mới', '60,000']]",1137404,0302911601-00011737B,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,25/12/2024 14:56:43 PM,26/12/2024 11:56:28 AM
1160835,Đã nộp phí,0001172B2,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"240,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-DE 24/02/149112', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/149104', '1', 'C/O mới', '60,000'], ['VN-ES 24/02/149075', '1', 'C/O mới', '60,000'], ['VN-ES 24/02/149074', '1', 'C/O mới', '60,000']]",1137204,0302911601-0001172B2,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,25/12/2024 14:15:47 PM,26/12/2024 11:55:22 AM
1160511,Đã nộp phí,00011716E,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"540,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-IT 24/02/149019', '1', 'C/O mới', '60,000'], ['VN-RO 24/02/149007', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/149004', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148947', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148945', '1', 'C/O mới', '60,000'], ['VN-SE 24/02/148920', '1', 'C/O mới', '60,000'], ['VN-SE 24/02/148910', '1', 'C/O mới', '60,000'], ['VN-IT 24/02/148869', '1', 'C/O mới', '60,000'], ['VN-IT 24/02/148849', '1', 'C/O mới', '60,000']]",1136877,0302911601-00011716E,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,25/12/2024 13:19:04 PM,26/12/2024 11:53:45 AM
1158142,Đã nộp phí,000116842,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"240,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-DE 24/02/148521', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148520', '1', 'C/O mới', '60,000'], ['VN-NL 24/02/148519', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148509', '1', 'C/O mới', '60,000']]",1134508,0302911601-000116842,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,24/12/2024 15:13:48 PM,25/12/2024 12:03:04 PM
1157859,Đã nộp phí,000116727,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"600,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-ES 24/02/148500', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148499', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148486', '1', 'C/O mới', '60,000'], ['VN-IT 24/02/148485', '1', 'C/O mới', '60,000'], ['VN-UK 24/02/024916', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148430', '1', 'C/O mới', '60,000'], ['VN-UK 24/02/024914', '1', 'C/O mới', '60,000'], ['VN-NL 24/02/148395', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148394', '1', 'C/O mới', '60,000'], ['VN-NL 24/02/148393', '1', 'C/O mới', '60,000']]",1134216,0302911601-000116727,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,24/12/2024 14:26:31 PM,25/12/2024 12:01:31 PM
1157232,Đã nộp phí,0001164B4,Công Ty TNHH Sedo Vina,0302911601,"364/1A Phan Văn Trị, Phường 5, Quận Gò Vấp, TP.HCM",xnksedovina@yahoo.com,"300,000 (VNĐ)","[['Số C/O', 'Loại phí', 'Loại phí', 'Số tiền (VNĐ)'], ['VN-UK 24/02/024901', '1', 'C/O mới', '60,000'], ['VN-UK 24/02/024900', '1', 'C/O mới', '60,000'], ['VN-UK 24/02/024899', '1', 'C/O mới', '60,000'], ['VN-DE 24/02/148347', '1', 'C/O mới', '60,000'], ['VN-PL 24/02/148345', '1', 'C/O mới', '60,000']]",1133582,0302911601-0001164B4,https://0106196017.vnpt-invoice.com.vn,invoice@eximuni.com,24/12/2024 11:52:41 AM,25/12/2024 11:57:56 AM
